ticker,fiscal_year,roe,source
GPSC,2019,0.057647,sec
GPSC,2020,0.073683,sec
GPSC,2021,0.069293,sec
GPSC,2022,0.008368,sec
GPSC,2023,0.035029,sec
GPSC,2024,0.038010,sec
GPSC,2025,0.060378,sec
GULF,2016,0.208072,sec
GULF,2017,0.187141,sec
GULF,2018,0.085178,sec
GULF,2019,0.104160,sec
GULF,2020,0.083591,sec
GULF,2021,0.095507,sec
GULF,2022,0.110111,sec
GULF,2023,0.130691,sec
GULF,2024,0.150952,sec
GULF,2025,0.239634,set
GUNKUL,2010,0.064943,sec
GUNKUL,2013,0.364779,sec
GUNKUL,2014,0.175729,sec
GUNKUL,2015,0.119984,sec
GUNKUL,2016,0.062630,sec
GUNKUL,2017,0.077713,sec
GUNKUL,2018,0.131815,sec
GUNKUL,2019,0.218862,sec
GUNKUL,2020,0.297050,sec
GUNKUL,2021,0.176788,sec
GUNKUL,2022,0.221657,sec
GUNKUL,2023,0.105313,sec
GUNKUL,2024,0.119663,sec
GUNKUL,2025,0.126583,sec
HANA,2002,-0.128239,sec
HANA,2003,-0.133190,sec
HANA,2006,0.234183,sec
HANA,2007,0.231463,sec
HANA,2008,0.160944,sec
HANA,2009,0.158937,sec
HANA,2010,0.199155,sec
HANA,2011,0.110944,sec
HANA,2012,0.111605,sec
HANA,2013,0.148447,sec
HANA,2014,0.194835,sec
HANA,2015,0.109369,sec
HANA,2016,0.106914,sec
HANA,2017,0.142072,sec
HANA,2018,0.113720,sec
HANA,2019,0.086699,sec
HANA,2020,0.090502,sec
HANA,2021,0.069185,sec
HANA,2022,0.089602,sec
HANA,2023,0.066425,sec
HANA,2024,-0.022541,sec
HANA,2025,0.025110,sec
HMPRO,2001,0.190509,sec
HMPRO,2002,0.121011,sec
HMPRO,2003,0.167930,sec
HMPRO,2004,0.260625,sec
HMPRO,2005,0.199742,sec
HMPRO,2006,0.188870,sec
HMPRO,2007,0.174071,sec
HMPRO,2008,0.206778,sec
HMPRO,2009,0.223440,sec
HMPRO,2010,0.286235,sec
HMPRO,2011,0.279308,sec
HMPRO,2012,0.298030,sec
HMPRO,2013,0.271023,sec
HMPRO,2014,0.233185,sec
HMPRO,2015,0.214623,sec
HMPRO,2016,0.239886,sec
HMPRO,2017,0.270525,sec
HMPRO,2018,0.291195,sec
HMPRO,2019,0.300914,sec
HMPRO,2020,0.241419,sec
HMPRO,2021,0.244762,sec
HMPRO,2022,0.263792,sec
HMPRO,2023,0.258673,sec
HMPRO,2024,0.248411,sec
HMPRO,2025,0.227275,sec
IRPC,2002,-0.000001,sec
IRPC,2003,0.390710,sec
IRPC,2004,0.742091,sec
IRPC,2005,0.000001,sec
IRPC,2006,0.085676,sec
IRPC,2007,0.149808,sec
IRPC,2008,-0.225495,sec
IRPC,2009,0.076764,sec
IRPC,2010,0.083845,sec
IRPC,2011,0.054522,sec
IRPC,2012,-0.012778,sec
IRPC,2013,0.010871,sec
IRPC,2014,-0.072992,sec
IRPC,2015,0.130778,sec
IRPC,2016,0.123925,sec
IRPC,2017,0.134647,sec
IRPC,2018,0.088385,sec
IRPC,2019,-0.013749,sec
IRPC,2020,-0.077347,sec
IRPC,2021,0.177559,sec
IRPC,2022,-0.052275,sec
IRPC,2023,-0.037630,sec
IRPC,2024,-0.071198,sec
IRPC,2025,-0.053001,sec
ITC,2021,0.356090,sec
ITC,2022,0.331880,sec
ITC,2023,0.099849,sec
ITC,2024,0.152243,sec
ITC,2025,0.124173,sec
IVL,2009,0.321890,sec
IVL,2010,0.428869,sec
IVL,2011,0.343867,sec
IVL,2012,0.078038,sec
IVL,2013,0.022714,sec
IVL,2014,0.024941,sec
IVL,2015,0.107792,sec
IVL,2016,0.232830,sec
IVL,2017,0.236809,sec
IVL,2018,0.228001,sec
IVL,2019,0.042796,sec
IVL,2020,0.018835,sec
IVL,2021,0.184204,sec
IVL,2022,0.179871,sec
IVL,2023,-0.061641,sec
IVL,2024,-0.132699,sec
IVL,2025,-0.060362,sec
JMART,2009,0.177512,sec
JMART,2010,0.157971,sec
JMART,2015,0.110185,sec
JMART,2016,0.152868,sec
JMART,2017,0.158938,sec
JMART,2018,-0.091143,sec
JMART,2019,0.171347,sec
JMART,2020,0.223975,sec
JMART,2021,0.234968,sec
JMART,2022,0.099088,sec
JMART,2023,-0.023787,sec
JMART,2024,0.060136,sec
JMART,2025,-0.008674,sec
JMT,2011,0.359861,sec
JMT,2013,0.121470,sec
JMT,2014,0.186011,sec
JMT,2015,0.080536,sec
JMT,2016,0.161137,sec
JMT,2017,0.185932,sec
JMT,2018,0.176730,sec
JMT,2019,0.200662,sec
JMT,2020,0.229623,sec
JMT,2021,0.113133,sec
JMT,2022,0.083027,sec
JMT,2023,0.081140,sec
JMT,2024,0.060469,sec
JMT,2025,0.038129,sec
KBANK,2001,0.037869,sec
KBANK,2002,0.212589,sec
KBANK,2003,0.351632,sec
KBANK,2004,0.258302,sec
KBANK,2005,0.192426,sec
KBANK,2006,0.164277,sec
KBANK,2007,0.159428,sec
KBANK,2008,0.143531,sec
KBANK,2009,0.125813,sec
KBANK,2010,0.157266,sec
KBANK,2011,0.167222,sec
KBANK,2012,0.207567,sec
KBANK,2013,0.204488,sec
KBANK,2014,0.193803,sec
KBANK,2015,0.145429,sec
KBANK,2016,0.132250,sec
KBANK,2017,0.102445,sec
KBANK,2018,0.106105,sec
KBANK,2019,0.098962,sec
KBANK,2020,0.069707,sec
KBANK,2021,0.083050,sec
KBANK,2022,0.073000,sec
KBANK,2023,0.081898,sec
KBANK,2024,0.088712,sec-prior
KBANK,2025,0.086209,sec
KCE,2001,0.001449,sec
KCE,2002,0.084586,sec
KCE,2006,-0.049686,sec
KCE,2007,0.103107,sec
KCE,2008,-0.159021,sec
KCE,2009,0.071647,sec
KCE,2010,0.208698,sec
KCE,2011,0.049979,sec
KCE,2012,0.255132,sec
KCE,2013,0.327785,sec
KCE,2014,0.403682,sec
KCE,2015,0.310366,sec
KCE,2016,0.336451,sec
KCE,2017,0.239833,sec
KCE,2018,0.173849,sec
KCE,2019,0.078983,sec
KCE,2020,0.094998,sec
KCE,2021,0.191119,sec
KCE,2022,0.173122,sec
KCE,2023,0.127010,sec
KCE,2024,0.120130,sec
KCE,2025,0.061927,sec
KKP,2008,0.109504,sec
KKP,2009,0.126946,sec
KKP,2010,0.146184,sec
KKP,2011,0.000191,sec
KKP,2012,0.000227,sec
KKP,2013,0.000296,sec
KKP,2014,0.000176,sec
KKP,2015,0.088377,sec
KKP,2016,0.141007,sec
KKP,2017,0.139812,sec
KKP,2018,0.144047,sec
KKP,2019,0.138699,sec
KKP,2020,0.113050,sec
KKP,2021,0.129220,sec
KKP,2022,0.139139,sec
KKP,2023,0.091207,sec
KKP,2024,0.080839,sec
KKP,2025,0.092089,sec
KTB,2001,-0.068433,sec
KTB,2002,0.122961,sec
KTB,2003,0.124293,sec
KTB,2004,0.147142,sec
KTB,2005,0.000000,sec
KTB,2006,0.000000,sec
KTB,2007,0.000000,sec
KTB,2008,0.123156,sec-rescaled
KTB,2009,0.112781,sec
KTB,2010,0.125156,sec
KTB,2011,0.133228,sec
KTB,2012,0.151744,sec
